Device ID,4 x 4
Export Time,"06/05/2026, 3:43:21 AM"
Sample Frequency,1 MIN
Start Time,"06/04/2026, 10:55:00 PM"
End Time,"06/05/2026, 3:43:59 AM"
Temperature Units,℉
EC Units,μS/cm
Leaf Temperature Offset,0

Time,Temperature (Inside),Relative Humidity (Inside),VPD (Inside),Temperature (Outside),Relative Humidity (Outside),VPD (Outside)
"06/04/2026, 11:23:00 PM",73.70,50.70,1.40,75.50,48.50,1.46

"06/04/2026, 11:24:00 PM",73.70,50.60,1.40,75.50,48.60,1.46

"06/04/2026, 11:25:00 PM",73.70,50.50,1.40,75.50,48.50,1.46

"06/04/2026, 11:26:00 PM",73.80,50.40,1.41,75.50,48.40,1.46

"06/04/2026, 11:27:00 PM",73.80,50.40,1.41,75.60,48.40,1.46

"06/04/2026, 11:28:00 PM",73.90,50.40,1.41,75.60,48.50,1.46

"06/04/2026, 11:29:00 PM",73.90,50.30,1.42,75.50,48.50,1.46

"06/04/2026, 11:30:00 PM",73.90,50.30,1.42,75.50,48.50,1.46

"06/04/2026, 11:31:00 PM",74.00,50.30,1.42,75.60,48.50,1.46

"06/04/2026, 11:32:00 PM",74.00,50.20,1.42,75.70,48.50,1.46

"06/04/2026, 11:33:00 PM",74.10,50.20,1.43,75.70,48.40,1.46

"06/04/2026, 11:34:00 PM",74.10,50.20,1.43,75.70,48.40,1.46

"06/04/2026, 11:35:00 PM",74.10,50.10,1.43,75.70,48.40,1.46

"06/04/2026, 11:36:00 PM",74.10,50.10,1.43,75.70,48.50,1.46

"06/04/2026, 11:37:00 PM",74.20,50.10,1.43,75.70,48.40,1.46

"06/04/2026, 11:38:00 PM",74.20,50.00,1.43,75.70,48.40,1.46

"06/04/2026, 11:39:00 PM",74.20,50.10,1.43,75.70,48.30,1.46

"06/04/2026, 11:40:00 PM",74.20,50.00,1.43,75.70,48.40,1.46

"06/04/2026, 11:41:00 PM",74.30,50.00,1.44,75.80,48.40,1.46

"06/04/2026, 11:42:00 PM",74.30,50.00,1.44,75.80,48.20,1.46

"06/04/2026, 11:43:00 PM",74.30,50.00,1.44,75.80,48.20,1.46

"06/04/2026, 11:44:00 PM",74.30,50.00,1.44,75.70,48.30,1.46

"06/04/2026, 11:45:00 PM",74.20,50.10,1.43,75.80,47.80,1.48

"06/04/2026, 11:46:00 PM",74.10,50.20,1.43,75.70,47.60,1.48

"06/04/2026, 11:47:00 PM",74.00,50.30,1.42,75.60,47.10,1.48

"06/04/2026, 11:48:00 PM",73.90,50.40,1.41,75.20,47.00,1.51

"06/04/2026, 11:49:00 PM",73.70,50.60,1.40,75.00,47.10,1.48

"06/04/2026, 11:50:00 PM",73.60,50.70,1.39,74.90,47.50,1.48

"06/04/2026, 11:51:00 PM",73.50,50.80,1.39,74.80,48.30,1.46

"06/04/2026, 11:52:00 PM",73.40,50.80,1.38,74.80,49.20,1.43

"06/04/2026, 11:53:00 PM",73.40,50.90,1.37,74.80,49.60,1.43

"06/04/2026, 11:54:00 PM",73.30,51.00,1.36,74.80,49.90,1.43

"06/04/2026, 11:55:00 PM",73.30,51.00,1.36,74.80,49.80,1.43

"06/04/2026, 11:56:00 PM",73.30,51.00,1.36,74.80,49.70,1.43

"06/04/2026, 11:57:00 PM",73.30,51.00,1.36,74.80,49.70,1.43

"06/04/2026, 11:58:00 PM",73.20,51.00,1.36,74.90,49.60,1.43

"06/04/2026, 11:59:00 PM",73.30,51.00,1.36,74.90,49.50,1.43

"06/05/2026, 12:00:00 AM",73.40,51.00,1.37,74.90,49.30,1.43

"06/05/2026, 12:01:00 AM",73.30,51.00,1.36,74.90,49.20,1.43

"06/05/2026, 12:02:00 AM",73.30,51.00,1.36,75.00,49.10,1.43

"06/05/2026, 12:03:00 AM",73.40,51.00,1.37,75.00,49.10,1.43

"06/05/2026, 12:04:00 AM",73.40,50.90,1.37,75.00,49.00,1.43

"06/05/2026, 12:05:00 AM",73.40,50.90,1.37,75.00,49.20,1.43

"06/05/2026, 12:06:00 AM",73.40,50.90,1.37,75.00,49.10,1.43

"06/05/2026, 12:07:00 AM",73.50,50.90,1.38,75.10,49.00,1.43

"06/05/2026, 12:08:00 AM",73.50,50.90,1.38,75.10,49.10,1.43

"06/05/2026, 12:09:00 AM",73.50,50.90,1.38,75.10,49.00,1.43

"06/05/2026, 12:10:00 AM",73.50,50.90,1.38,75.10,48.90,1.46

"06/05/2026, 12:11:00 AM",73.50,50.80,1.39,75.10,49.20,1.43

"06/05/2026, 12:12:00 AM",73.50,50.90,1.38,75.10,48.90,1.46

"06/05/2026, 12:13:00 AM",73.50,50.80,1.39,75.10,48.80,1.46

"06/05/2026, 12:14:00 AM",73.50,50.80,1.39,75.10,49.00,1.46

"06/05/2026, 12:15:00 AM",73.60,50.80,1.39,75.20,48.80,1.46

"06/05/2026, 12:16:00 AM",73.60,50.80,1.39,75.20,48.90,1.46

"06/05/2026, 12:17:00 AM",73.60,50.80,1.39,75.20,48.80,1.46

"06/05/2026, 12:18:00 AM",73.60,50.70,1.39,75.20,48.90,1.46

"06/05/2026, 12:19:00 AM",73.60,50.80,1.39,75.20,48.90,1.46

"06/05/2026, 12:20:00 AM",73.60,50.80,1.39,75.20,48.90,1.46

"06/05/2026, 12:21:00 AM",73.60,50.70,1.39,75.20,48.80,1.46

"06/05/2026, 12:22:00 AM",73.60,50.70,1.39,75.30,48.70,1.46

"06/05/2026, 12:23:00 AM",73.60,50.70,1.39,75.30,48.80,1.46

"06/05/2026, 12:24:00 AM",73.60,50.80,1.39,75.20,48.70,1.46

"06/05/2026, 12:25:00 AM",73.60,50.80,1.39,75.20,48.80,1.46

"06/05/2026, 12:26:00 AM",73.60,50.80,1.39,75.20,48.70,1.46

"06/05/2026, 12:27:00 AM",73.60,50.80,1.39,75.30,48.70,1.46

"06/05/2026, 12:28:00 AM",73.60,50.80,1.39,75.20,48.70,1.46

"06/05/2026, 12:29:00 AM",73.60,50.80,1.39,75.20,48.70,1.46

"06/05/2026, 12:30:00 AM",73.60,50.90,1.38,75.20,48.70,1.46

"06/05/2026, 12:31:00 AM",73.50,50.80,1.39,75.20,48.70,1.46

"06/05/2026, 12:32:00 AM",73.50,50.90,1.38,75.20,48.70,1.46

"06/05/2026, 12:33:00 AM",73.50,50.90,1.38,75.20,48.70,1.46

"06/05/2026, 12:34:00 AM",73.60,50.90,1.38,75.10,48.80,1.46

"06/05/2026, 12:35:00 AM",73.50,50.90,1.38,75.20,48.70,1.46

"06/05/2026, 12:36:00 AM",73.50,50.90,1.38,75.20,49.00,1.43

"06/05/2026, 12:37:00 AM",73.50,50.90,1.38,75.20,48.80,1.46

"06/05/2026, 12:38:00 AM",73.50,51.00,1.38,75.20,48.80,1.46

"06/05/2026, 12:39:00 AM",73.50,51.00,1.38,75.20,48.70,1.46

"06/05/2026, 12:40:00 AM",73.50,50.90,1.38,75.10,48.80,1.46

"06/05/2026, 12:41:00 AM",73.50,51.00,1.38,75.10,48.80,1.46

"06/05/2026, 12:42:00 AM",73.50,51.00,1.38,75.10,48.80,1.46

"06/05/2026, 12:43:00 AM",73.50,51.00,1.38,75.10,48.80,1.46

"06/05/2026, 12:44:00 AM",73.50,51.00,1.38,75.10,48.90,1.46

"06/05/2026, 12:45:00 AM",73.40,51.00,1.37,75.10,48.80,1.46

"06/05/2026, 12:46:00 AM",73.50,51.00,1.38,75.10,48.80,1.46

"06/05/2026, 12:47:00 AM",73.40,51.00,1.37,75.10,49.00,1.46

"06/05/2026, 12:48:00 AM",73.40,51.10,1.37,75.10,49.00,1.46

"06/05/2026, 12:49:00 AM",73.40,51.10,1.37,75.10,48.90,1.46

"06/05/2026, 12:50:00 AM",73.40,51.10,1.37,75.10,48.90,1.46

"06/05/2026, 12:51:00 AM",73.40,51.10,1.37,75.10,48.80,1.46

"06/05/2026, 12:52:00 AM",73.40,51.10,1.37,75.10,49.00,1.43

"06/05/2026, 12:53:00 AM",73.40,51.10,1.37,75.10,49.10,1.43

"06/05/2026, 12:54:00 AM",73.40,51.10,1.37,75.10,49.20,1.43

"06/05/2026, 12:55:00 AM",74.20,50.30,1.43,75.20,49.20,1.43

"06/05/2026, 12:56:00 AM",75.60,48.70,1.54,75.20,49.20,1.43

"06/05/2026, 12:57:00 AM",76.90,47.30,1.65,75.30,49.30,1.43

"06/05/2026, 12:58:00 AM",77.90,46.10,1.75,75.40,49.30,1.43

"06/05/2026, 12:59:00 AM",78.90,45.20,1.85,75.50,49.20,1.43

"06/05/2026, 1:00:00 AM",79.70,44.30,1.92,75.70,49.00,1.46

"06/05/2026, 1:01:00 AM",80.40,43.60,1.99,75.80,48.90,1.46

"06/05/2026, 1:02:00 AM",81.10,43.00,2.06,76.00,48.60,1.55

"06/05/2026, 1:03:00 AM",81.70,42.30,2.13,76.10,48.50,1.55

"06/05/2026, 1:04:00 AM",82.40,41.80,2.19,76.30,48.10,1.55

"06/05/2026, 1:05:00 AM",82.90,41.40,2.25,76.40,48.10,1.55

"06/05/2026, 1:06:00 AM",83.50,40.90,2.31,76.60,48.00,1.58

"06/05/2026, 1:07:00 AM",83.90,40.50,2.35,76.80,48.00,1.55

"06/05/2026, 1:08:00 AM",84.50,40.10,2.42,77.00,48.00,1.67

"06/05/2026, 1:09:00 AM",84.90,39.80,2.46,77.20,47.40,1.67

"06/05/2026, 1:10:00 AM",85.30,39.40,2.51,77.30,47.90,1.67

"06/05/2026, 1:11:00 AM",85.70,39.20,2.55,77.60,47.40,1.67

"06/05/2026, 1:12:00 AM",86.00,38.80,2.59,77.70,47.20,1.67

"06/05/2026, 1:13:00 AM",86.40,38.60,2.63,77.80,46.80,1.71

"06/05/2026, 1:14:00 AM",86.60,38.40,2.65,77.70,46.80,1.71

"06/05/2026, 1:15:00 AM",86.80,38.30,2.67,77.70,45.60,1.74

"06/05/2026, 1:16:00 AM",86.90,38.00,2.70,77.60,45.10,1.74

"06/05/2026, 1:17:00 AM",87.20,37.90,2.74,77.70,45.30,1.74

"06/05/2026, 1:18:00 AM",87.40,37.70,2.76,77.60,45.50,1.74

"06/05/2026, 1:19:00 AM",87.50,37.50,2.77,77.30,47.20,1.71

"06/05/2026, 1:20:00 AM",87.70,37.40,2.79,77.20,47.40,1.67

"06/05/2026, 1:21:00 AM",87.90,37.30,2.83,77.20,48.40,1.64

"06/05/2026, 1:22:00 AM",88.00,37.10,2.84,77.40,47.80,1.67

"06/05/2026, 1:23:00 AM",88.30,37.00,2.87,77.30,47.70,1.67

"06/05/2026, 1:24:00 AM",88.50,36.70,2.90,77.50,47.40,1.67

"06/05/2026, 1:25:00 AM",88.70,36.70,2.92,77.60,47.40,1.67

"06/05/2026, 1:26:00 AM",88.90,36.50,2.95,77.70,47.20,1.71

"06/05/2026, 1:27:00 AM",89.10,36.30,2.97,77.70,47.10,1.67

"06/05/2026, 1:28:00 AM",89.20,36.20,2.99,77.90,46.40,1.71

"06/05/2026, 1:29:00 AM",89.40,36.10,3.02,78.10,46.60,1.71

"06/05/2026, 1:30:00 AM",89.60,36.00,3.04,78.20,46.30,1.71

"06/05/2026, 1:31:00 AM",89.90,35.80,3.08,78.40,45.90,1.74

"06/05/2026, 1:32:00 AM",89.90,35.70,3.09,78.40,46.10,1.71

"06/05/2026, 1:33:00 AM",90.10,35.60,3.11,78.50,45.50,1.74

"06/05/2026, 1:34:00 AM",90.20,35.50,3.11,78.60,46.00,1.74

"06/05/2026, 1:35:00 AM",90.40,35.30,3.14,78.70,45.80,1.74

"06/05/2026, 1:36:00 AM",90.60,35.20,3.18,78.70,45.60,1.74

"06/05/2026, 1:37:00 AM",90.70,35.10,3.19,78.80,45.10,1.74

"06/05/2026, 1:38:00 AM",90.90,35.00,3.21,78.70,45.40,1.74

"06/05/2026, 1:39:00 AM",91.10,34.90,3.23,78.80,45.40,1.74

"06/05/2026, 1:40:00 AM",91.20,34.80,3.26,78.80,45.10,1.74

"06/05/2026, 1:41:00 AM",91.20,34.80,3.26,78.80,44.90,1.74

"06/05/2026, 1:42:00 AM",91.30,34.70,3.26,78.90,45.10,1.74

"06/05/2026, 1:43:00 AM",91.40,34.70,3.28,78.90,44.90,1.77

"06/05/2026, 1:44:00 AM",91.50,34.60,3.30,79.00,45.50,1.84

"06/05/2026, 1:45:00 AM",91.60,34.50,3.31,79.20,44.60,1.88

"06/05/2026, 1:46:00 AM",91.70,34.40,3.33,79.10,44.90,1.88

"06/05/2026, 1:47:00 AM",91.80,34.30,3.34,79.10,44.80,1.88

"06/05/2026, 1:48:00 AM",91.90,34.30,3.36,79.30,44.70,1.88

"06/05/2026, 1:49:00 AM",91.90,34.20,3.36,79.40,44.40,1.88

"06/05/2026, 1:50:00 AM",92.00,34.20,3.36,79.50,44.00,1.88

"06/05/2026, 1:51:00 AM",92.00,34.20,3.36,79.70,43.50,1.91

"06/05/2026, 1:52:00 AM",92.00,34.20,3.36,79.60,42.50,1.94

"06/05/2026, 1:53:00 AM",91.90,34.20,3.36,79.10,42.80,1.94

"06/05/2026, 1:54:00 AM",91.80,34.20,3.34,79.00,42.40,1.83

"06/05/2026, 1:55:00 AM",91.70,34.30,3.34,78.80,42.70,1.83

"06/05/2026, 1:56:00 AM",91.70,34.20,3.34,78.60,44.50,1.77

"06/05/2026, 1:57:00 AM",91.80,34.10,3.35,78.50,45.00,1.74

"06/05/2026, 1:58:00 AM",91.90,34.10,3.37,78.50,45.80,1.74

"06/05/2026, 1:59:00 AM",91.90,34.00,3.37,78.40,46.30,1.71

"06/05/2026, 2:00:00 AM",91.90,34.00,3.37,78.30,46.50,1.71

"06/05/2026, 2:01:00 AM",91.90,34.00,3.37,78.40,46.30,1.71

"06/05/2026, 2:02:00 AM",91.90,34.00,3.37,78.50,46.20,1.71

"06/05/2026, 2:03:00 AM",92.00,33.90,3.38,78.80,45.40,1.74

"06/05/2026, 2:04:00 AM",92.10,33.90,3.39,78.90,45.20,1.74

"06/05/2026, 2:05:00 AM",92.20,33.80,3.40,79.10,45.00,1.84

"06/05/2026, 2:06:00 AM",92.30,33.80,3.42,79.10,45.40,1.84

"06/05/2026, 2:07:00 AM",92.30,33.70,3.42,79.20,44.70,1.88

"06/05/2026, 2:08:00 AM",92.40,33.70,3.44,79.30,44.70,1.88

"06/05/2026, 2:09:00 AM",92.40,33.70,3.44,79.30,44.70,1.88

"06/05/2026, 2:10:00 AM",92.50,33.60,3.45,79.40,44.80,1.84

"06/05/2026, 2:11:00 AM",92.60,33.60,3.47,79.50,44.40,1.88

"06/05/2026, 2:12:00 AM",92.60,33.60,3.47,79.40,44.40,1.88

"06/05/2026, 2:13:00 AM",92.60,33.50,3.47,79.50,44.10,1.88

"06/05/2026, 2:14:00 AM",92.70,33.50,3.47,79.50,44.30,1.88

"06/05/2026, 2:15:00 AM",92.80,33.50,3.49,79.60,44.40,1.88

"06/05/2026, 2:16:00 AM",92.90,33.40,3.50,79.60,44.30,1.88

"06/05/2026, 2:17:00 AM",93.00,33.30,3.52,79.60,43.70,1.91

"06/05/2026, 2:18:00 AM",93.00,33.20,3.53,79.50,43.80,1.91

"06/05/2026, 2:19:00 AM",93.10,33.20,3.53,79.50,44.00,1.91

"06/05/2026, 2:20:00 AM",93.10,33.20,3.53,79.50,45.00,1.88

"06/05/2026, 2:21:00 AM",93.10,33.20,3.53,79.80,43.90,1.91

"06/05/2026, 2:22:00 AM",93.20,33.10,3.55,79.80,44.00,1.91

"06/05/2026, 2:23:00 AM",93.30,33.00,3.58,79.80,43.80,1.91

"06/05/2026, 2:24:00 AM",91.10,32.20,3.37,79.40,43.80,1.91

"06/05/2026, 2:25:00 AM",89.20,33.00,3.14,79.00,44.10,1.88

"06/05/2026, 2:26:00 AM",88.10,33.90,3.00,78.80,44.30,1.77

"06/05/2026, 2:27:00 AM",87.20,34.60,2.88,78.50,44.50,1.77

"06/05/2026, 2:28:00 AM",86.50,35.20,2.79,78.30,44.70,1.77

"06/05/2026, 2:29:00 AM",86.00,35.70,2.72,78.20,44.80,1.77

"06/05/2026, 2:30:00 AM",85.50,36.00,2.66,78.10,44.80,1.77

"06/05/2026, 2:31:00 AM",85.20,36.40,2.63,78.00,45.00,1.77

"06/05/2026, 2:32:00 AM",84.80,36.80,2.57,77.80,45.10,1.74

"06/05/2026, 2:33:00 AM",84.50,37.00,2.55,77.80,45.10,1.74

"06/05/2026, 2:34:00 AM",84.20,37.30,2.51,77.70,45.10,1.74

"06/05/2026, 2:35:00 AM",83.90,37.50,2.47,77.70,45.20,1.74

"06/05/2026, 2:36:00 AM",83.80,37.70,2.46,77.50,45.30,1.74

"06/05/2026, 2:37:00 AM",83.80,37.70,2.46,77.40,45.40,1.74

"06/05/2026, 2:38:00 AM",83.60,37.80,2.44,77.30,45.60,1.74

"06/05/2026, 2:39:00 AM",83.60,37.90,2.44,77.30,45.60,1.74

"06/05/2026, 2:40:00 AM",83.40,38.00,2.42,77.20,45.60,1.74

"06/05/2026, 2:41:00 AM",83.20,38.20,2.39,77.20,45.60,1.74

"06/05/2026, 2:42:00 AM",83.10,38.40,2.38,77.10,45.70,1.74

"06/05/2026, 2:43:00 AM",83.00,38.50,2.36,77.00,45.70,1.74

"06/05/2026, 2:44:00 AM",82.80,38.50,2.35,76.90,45.80,1.64

"06/05/2026, 2:45:00 AM",82.80,38.50,2.35,77.00,45.70,1.64

"06/05/2026, 2:46:00 AM",82.60,38.80,2.32,76.90,45.90,1.64

"06/05/2026, 2:47:00 AM",82.50,38.90,2.32,76.80,45.90,1.64

"06/05/2026, 2:48:00 AM",82.40,39.00,2.30,76.70,46.00,1.61

"06/05/2026, 2:49:00 AM",82.40,39.00,2.30,76.70,46.10,1.61

"06/05/2026, 2:50:00 AM",82.40,39.00,2.30,76.60,46.10,1.61

"06/05/2026, 2:51:00 AM",82.30,39.00,2.29,76.70,46.10,1.61

"06/05/2026, 2:52:00 AM",82.30,39.10,2.28,76.70,46.10,1.61

"06/05/2026, 2:53:00 AM",82.20,39.10,2.28,76.60,46.00,1.61

"06/05/2026, 2:54:00 AM",82.20,39.00,2.29,76.60,46.20,1.61

"06/05/2026, 2:55:00 AM",82.20,39.20,2.28,76.50,46.20,1.61

"06/05/2026, 2:56:00 AM",82.10,39.30,2.26,76.40,46.30,1.61

"06/05/2026, 2:57:00 AM",82.00,39.30,2.26,76.50,46.30,1.61

"06/05/2026, 2:58:00 AM",81.90,39.40,2.25,76.40,46.30,1.61

"06/05/2026, 2:59:00 AM",81.90,39.40,2.25,76.30,46.40,1.61

"06/05/2026, 3:00:00 AM",81.90,39.30,2.25,76.30,46.40,1.61

"06/05/2026, 3:01:00 AM",81.90,39.40,2.25,76.30,46.30,1.61

"06/05/2026, 3:02:00 AM",81.90,39.30,2.25,76.30,46.30,1.61

"06/05/2026, 3:03:00 AM",81.90,39.30,2.25,76.30,46.30,1.61

"06/05/2026, 3:04:00 AM",82.00,39.30,2.26,76.30,46.40,1.61

"06/05/2026, 3:05:00 AM",81.90,39.30,2.25,76.20,46.30,1.61

"06/05/2026, 3:06:00 AM",81.80,39.40,2.25,76.30,46.30,1.61

"06/05/2026, 3:07:00 AM",81.80,39.50,2.24,76.30,46.40,1.61

"06/05/2026, 3:08:00 AM",81.70,39.50,2.23,76.20,46.40,1.61

"06/05/2026, 3:09:00 AM",81.70,39.50,2.23,76.20,46.30,1.61

"06/05/2026, 3:10:00 AM",81.60,39.50,2.23,76.20,46.40,1.61

"06/05/2026, 3:11:00 AM",81.60,39.60,2.23,76.00,46.50,1.61

"06/05/2026, 3:12:00 AM",81.60,39.60,2.23,76.10,46.50,1.61

"06/05/2026, 3:13:00 AM",81.60,39.60,2.23,76.00,46.50,1.61

"06/05/2026, 3:14:00 AM",81.50,39.60,2.21,76.00,46.50,1.51

"06/05/2026, 3:15:00 AM",81.60,39.60,2.23,75.90,46.60,1.51

"06/05/2026, 3:16:00 AM",81.50,39.60,2.21,75.90,46.60,1.51

"06/05/2026, 3:17:00 AM",81.60,39.60,2.23,75.90,46.70,1.51

"06/05/2026, 3:18:00 AM",81.40,39.80,2.19,75.90,46.90,1.51

"06/05/2026, 3:19:00 AM",80.20,40.80,2.08,76.00,46.60,1.61

"06/05/2026, 3:20:00 AM",79.20,41.90,1.97,76.10,46.50,1.61

"06/05/2026, 3:21:00 AM",78.40,42.80,1.89,76.10,46.60,1.61

"06/05/2026, 3:22:00 AM",77.80,43.50,1.83,76.00,46.50,1.61

"06/05/2026, 3:23:00 AM",77.30,44.10,1.79,76.00,46.60,1.51

"06/05/2026, 3:24:00 AM",76.80,44.60,1.74,75.90,46.70,1.51

"06/05/2026, 3:25:00 AM",76.50,45.10,1.70,75.80,46.80,1.51

"06/05/2026, 3:26:00 AM",76.20,45.40,1.68,75.60,46.90,1.51

"06/05/2026, 3:27:00 AM",76.00,45.90,1.65,75.50,47.00,1.48

"06/05/2026, 3:28:00 AM",75.70,46.20,1.63,75.60,47.10,1.48

"06/05/2026, 3:29:00 AM",75.50,46.40,1.61,75.60,47.00,1.51

"06/05/2026, 3:30:00 AM",75.30,46.80,1.59,75.60,47.00,1.51

"06/05/2026, 3:31:00 AM",75.00,47.10,1.56,75.60,47.10,1.48

"06/05/2026, 3:32:00 AM",74.80,47.30,1.55,75.60,47.00,1.51
